offset,texto,tamanho_bytes,encoding,texto_traduzido
0x555ea7c,...So they...they actually went|and did it...!,47,latin-1,
0x555eabc,What are you talking about!,27,shift_jis,
0x555eae8,They...they're just...using you|for...,39,latin-1,
0x555eb20,uuuhhh...,9,shift_jis,
0x555eb3c,Uuuuhhh...,10,shift_jis,
0x555eb58,What the hell?,14,shift_jis,
0x57500e4,This is Raven's territory...,28,shift_jis,
0x5750114,Snakes don't belong in Alaska...,32,shift_jis,
0x5750148,I will not let you pass...,26,shift_jis,
0x5750174,Send him a message!,19,shift_jis,
0x5750198,Ha ha ha ha ha ...,18,shift_jis,
0x57501bc,That's right...|You belong on the ground.,42,latin-1,
0x57501f8,You should crawl on the ground|like the snake you are!,55,latin-1,
0x5750240,"Come, let's fight!",18,shift_jis,
0x5a8b154,"Well, Boss, I hope you are happy.|He got the card.",51,latin-1,
0x5a8b198,...We'll play with him a little|longer...,42,latin-1,
0x5a8b1d4,You would be wise not to|underestimate him.,44,latin-1,
0x5a8b214,What did you think of him?,26,shift_jis,
0x5a8b240,He is just as you said.,23,shift_jis,
0x5a8b268,"In battle, he is as if possessed|by a demon.",45,latin-1,
0x5a8b2a8,Much like you.|I would expect no less.,39,latin-1,
0x5a8b2e0,You see? I told you so.,23,shift_jis,
0x5a8b308,But I will kill him.,20,shift_jis,
0x5a8b330,"So, General Ivan,",17,shift_jis,
0x5a8b354,I hear he took your hand|as well as your dignity?,50,latin-1,
0x5a8b398,"Watch your tongue, Shaman!",26,shift_jis,
0x5a8b3c4,"In the language of the Sioux people,|""Sioux"" means snake.",58,latin-1,
0x5a8b44c,"Well, Snake is mine now...",26,shift_jis,
0x5a8b478,"When I meet him next,|I'll take special care of him.",53,latin-1,
0x5a8b4c0,Not yet.,8,shift_jis,
0x5a8b4dc,Don't kill him yet...,21,shift_jis,
0x5a8b504,He and I will meet again|in battle.,36,latin-1,
0x5a8b53c,Same prediction as always?,26,shift_jis,
0x5a8b568,Yes. The raven on my head...,28,shift_jis,
0x5a8b598,...It thirsts for his blood.,28,shift_jis,
0x5f1e8a8,It looks like they were cut by|some type of blade.,51,latin-1,
0x60c00e4,Stealth camouflage?|Who are you?,33,latin-1,
0x60c0118,Where is my friend?,19,shift_jis,
0x60c013c,What...what are you talking about?,34,shift_jis,
0x60c0170,What next?,10,shift_jis,
0x60c018c,Snake!!,7,shift_jis,
0x60c01a4,You're that Ninja...,20,shift_jis,
0x60c01cc,"I've been waiting for you, Snake.",33,shift_jis,
0x60c0220,Neither enemy nor friend.,25,shift_jis,
0x60c024c,I am back from a world where|such words are meaningless...,59,latin-1,
0x60c0298,I've removed all obstacles.,27,shift_jis,
0x60c02c4,Now you and I will battle|to the death.,40,latin-1,
0x60c0300,What do you want?,17,shift_jis,
0x60c0324,I've waited a long time|for this day.,38,latin-1,
0x60c035c,Now I want to enjoy the moment.,31,shift_jis,
0x60c038c,What...what's with these guys?,30,shift_jis,
0x60c03bc,...It's like one of my Japanese|animes...,42,latin-1,
0x60c03f8,I've come from another world|to do battle with you.,52,latin-1,
0x60c0440,What is it? Revenge?,20,shift_jis,
0x60c0468,It is nothing so trivial as revenge.,36,shift_jis,
0x60c04a0,A fight to the death with you.,30,shift_jis,
0x60c04d0,Only in that can my soul find|respite.,39,latin-1,
0x60c0508,I will kill you...,18,shift_jis,
0x60c052c,or you will kill me...,22,shift_jis,
0x60c0554,...it makes no difference.,26,shift_jis,
0x60c0580,Waaaaaaaaahhh!!!,16,shift_jis,
0x60c05a4,Hah! Fine!,10,shift_jis,
0x60c05c0,He can watch from inside there.,31,shift_jis,
0x60c05f0,I need that man.|Keep your hands off him.,42,latin-1,
0x65ee0d0,"I felt that, Snake...",21,shift_jis,
0x65ee0f8,Do you remember me now?,23,shift_jis,
0x65ee120,It can't be...!,15,shift_jis,
0x65ee140,You were killed in Zanzibar...,30,shift_jis,
0x65ee170,Eeeeyaaaaah!,13,shift_jis,
0x65ee190,What!? Not again!!,18,shift_jis,
0x65ee1b4,The...the mediciiiiiine!,24,shift_jis,
0x65ee1e0,What's happening?,17,shift_jis,
0x65ee204,...I...I...I'm losing myself....,32,shift_jis,
0x65ee238,Is it over?,11,shift_jis,
0x65ee254,Waaaaaaaaaahhhh!!!!,19,shift_jis,
0x69418d0,How long are you gonna stay|in there?,38,latin-1,
0x6941908,Huh?...Are you one of them?,27,shift_jis,
0x6941934,"No, I'm not. I always work alone.",33,shift_jis,
0x6941968,Alone?,6,shift_jis,
0x6941980,Are you an Otaku too?,21,shift_jis,
0x69419a8,C'mon get out.,14,shift_jis,
0x69419c8,We can't stay here forever.,27,shift_jis,
0x69419f4,Your uniform's different than|theirs.,38,latin-1,
0x6941a2c,"You're the Metal Gear chief engineer,|Hal Emmerich, right?",59,latin-1,
0x6941a78,You know me?,12,shift_jis,
0x6941a98,I heard about you from Meryl.,29,shift_jis,
0x6941ac8,Oh. So you're here to rescue me?,32,shift_jis,
0x6941afc,"Sorry, but no.",14,shift_jis,
0x6941b1c,There's something that I've got|to do first.,45,latin-1,
0x6941b5c,Oh. well...at least you're not|one of them...,46,latin-1,
0x6941b9c,Huh? Are you hurt?,18,shift_jis,
0x6941bc0,I'm okay.,9,shift_jis,
0x6941bdc,I just twisted my ankle a little bit|trying to get away.,57,latin-1,
0x6941c28,"Well if that's all,|it's nothing to worry about.",49,latin-1,
0x6c218bc,I want to ask you something.,28,shift_jis,
0x6c218ec,I need information about|Metal Gear.,37,latin-1,
0x6c21924,Huh? Metal Gear?,16,shift_jis,
0x6c21948,Yeah. What's Metal Gear really|designed for?,45,latin-1,
0x6c21988,It's a mobile TMD (theater|missile defense).,46,latin-1,
0x6c219c8,It's designed to shoot down|nuclear missiles...,48,latin-1,
0x6c21a0c,"...only for defensive purposes,|of course.",43,latin-1,
0x6c21a48,Liar!,5,shift_jis,
0x6c21a60,"I already know that Metal Gear is|nothing but a nuclear-equipped,",66,latin-1,
0x6c21ab4,walking death-mobile!,21,shift_jis,
0x6c21adc,Nuclear?|What are you talking about?,37,latin-1,
0x6c21b14,The terrorists are planning to use|Metal Gear to launch a nuclear missile.,75,latin-1,
0x6c21b70,You telling me you didn't know?,31,shift_jis,
0x6c21ba0,They're gonna put a dismantled warhead|into Metal Gear's...,60,latin-1,
0x6c21bf0,TMD missile module?,19,shift_jis,
0x6c21c14,Wrong.,6,shift_jis,
0x6c21c2c,"From the beginning, the purpose|of this exercise was to...",59,latin-1,
0x6c21c78,test Metal Gear's nuclear|launch capability...,47,latin-1,
0x6c21cb8,using a dummy nuclear warhead.,30,shift_jis,
0x6c21ce8,The terrorists are just|continuing the work...,47,latin-1,
0x6c21d28,you started!,12,shift_jis,
0x6c21d48,"No, you're wrong...",19,shift_jis,
0x6c21d6c,"I heard it directly from your boss,|Baker.",43,latin-1,
0x6c21da8,No...a nuclear missile on Rex...?,33,shift_jis,
0x6c21ddc,...So you really didn't know?,29,shift_jis,
0x6c21e0c,No. All the armament was built|by a separate department...,59,latin-1,
0x6c21e58,and the president personally supervised|the final assembly...,62,latin-1,
0x6c21ea8,of the main unit.,17,shift_jis,
0x6c21ecc,President Baker?,16,shift_jis,
0x6c21f08,I was never told exactly what|they armed Rex with.,51,latin-1,
0x6c21f4c,"I...I only know it's equipped with a vulcan|cannon, a laser and a rail gun.",76,latin-1,
0x6fe3880,"A rail gun, you said?",21,shift_jis,
0x6fe38c0,It uses magnets to fire bullets|at extremely high velocities.,62,latin-1,
0x6fe3910,The technology was originally developed|for the SDI system...,62,latin-1,
0x6fe3960,and later scrapped.,19,shift_jis,
0x6fe3984,We were successful in miniaturizing it,38,shift_jis,
0x6fe39bc,in a joint venture between ArmsTech,35,shift_jis,
0x6fe39f0,and Rivermore National Labs.,28,shift_jis,
0x6fe3a20,The rail gun is on Rex's right|arm.,36,latin-1,
0x6fe3a58,Metal Gear's main function is to|launch nuclear missiles.,58,latin-1,
0x6fe3aa4,You sure you're not forgetting|something?,42,latin-1,
0x6fe3ae0,It's true that Metal Gear has a|missile module on his back,59,latin-1,
0x6fe3b2c,that can carry up to 8 missiles.|But...,40,latin-1,
0x6fe3b68,...are you saying it was|originally meant,42,latin-1,
0x6fe3ba4,to carry nuclear missiles?,26,shift_jis,
0x71238d0,Yeah. But that's not all I think.,33,shift_jis,
0x7123904,"If Metal Gear fired only standard|nuclear missiles,",52,latin-1,
0x712394c,then they should already have all|the practical data they need.,64,latin-1,
0x71239b8,...could it be?,15,shift_jis,
0x71d88bc,These are some of the|supercomputers.,38,latin-1,
0x71d88f4,"If you link these,",18,shift_jis,
0x71d8918,you can test everything|in a virtual environment.,50,latin-1,
0x71d895c,But it's all just theoretical...,32,shift_jis,
0x71d8990,So this exercise was designed to|test the real thing?,54,latin-1,
0x71d89d8,What did our president do!?,27,shift_jis,
0x71d8a04,If the terrorists launch|that thing...,39,latin-1,
0x71d8a3c,Damn!!,6,shift_jis,
0x71d8a54,...Damn!!,9,shift_jis,
0x71d8a70,I'm such a fool!|It's all my fault...,38,latin-1,
0x73458bc,I used to think that I could use|science to help mankind.,58,latin-1,
0x7345908,But the one that wound up getting used|was me...,49,latin-1,
0x734594c,Using science to help mankind...|that's just in the movies...,62,latin-1,
0x734599c,That's enough crying.|Pull yourself together!,46,latin-1,
0x73459dc,Where is Metal Gear?,20,shift_jis,
0x7345a04,Where on this base are they|keeping it?,40,latin-1,
0x7435880,Rex is in the underground|maintenance base.,44,latin-1,
0x74358c0,Where is that?,14,shift_jis,
0x74358e0,North of the Communications Tower.|But it's a long way there.,62,latin-1,
0x7435930,The emergency override system...,32,shift_jis,
0x7435964,for the detonation code is|there too?,38,latin-1,
0x74359b4,...In the maintenance base's|Control Room.,43,latin-1,
0x74359f0,You'd better hurry.,19,shift_jis,
0x7435a14,"If they were planning a launch|from the start,",47,latin-1,
0x7435a54,then their ballistic program is|probably finished.,51,latin-1,
0x7435a98,"And since they haven't called for|me in a few hours,",53,latin-1,
0x7435ae0,they must not need me.,22,shift_jis,
0x7435b08,"In other words, they must be|ready to launch.",46,latin-1,
0x7435b48,Meryl's got the detonation code|override keys.,47,latin-1,
0x7435b88,We'll link up with her.,23,shift_jis,
0x7435bb0,"If we can't override the launch,|we'll have to destroy Rex.",60,latin-1,
0x756b8bc,I'll show you the way.,22,shift_jis,
0x756b8e4,On that leg of yours?|You'll just slow me down.,48,latin-1,
0x756b928,You'll need me if you're gonna|destroy Rex.,44,latin-1,
0x756b968,I don't need you.|I just need your brain.,42,latin-1,
0x756b9a4,I created Rex.,14,shift_jis,
0x756b9c4,It's my right...my duty|to destroy him.,40,latin-1,
0x756ba00,"If you get a chance, try to|escape.",36,latin-1,
0x756ba38,When the coast is clear I'll contact|you by Codec.,51,latin-1,
0x756ba7c,How am I supposed to escape|from an island?,44,latin-1,
0x756babc,Okay.,5,shift_jis,
0x756bad4,So what then?,13,shift_jis,
0x756baf4,I want you to hide somewhere|and keep me informed.,51,latin-1,
0x756bb38,"You know this place well,|don't you?",37,latin-1,
0x756bb70,Course I do. And don't worry.|...I've got this.,48,latin-1,
0x756bbb4,It's the same stealth technology|as the Ninja.,47,latin-1,
0x756bbf4,"FOX-HOUND was going to use them,|but...",40,latin-1,
0x756bc30,"With this I'll be fine,|bad leg and all.",41,latin-1,
0x756bc6c,Good. But I want Meryl|to watch after you too.,47,latin-1,
0x78090d0,Something's wrong.,18,shift_jis,
0x78090f4,Did you hear something?|Wasn't that some kind of music?,56,latin-1,
0x7809140,What did she look like?,23,shift_jis,
0x7809168,She...she was wearing the same|green uniform as the terrorists.,64,latin-1,
0x789d8bc,A disguise?,11,shift_jis,
0x789d8d8,She had such a cute way of|walking.,36,latin-1,
0x789d910,She kind of wiggles her behind...,33,shift_jis,
0x789d944,You were really looking.,24,shift_jis,
0x789d970,Well...she's got a very cute|behind...,39,latin-1,
0x789d9a8,"Way of walking, huh.",20,shift_jis,
0x79118e4,"If she's disguised as the enemy,",32,shift_jis,
0x7911918,"you'll have to contact her|when she's alone, huh.",50,latin-1,
0x791195c,There's only one place where we can|be sure she's by herself.,62,latin-1,
0x79119ac,Where's that.,13,shift_jis,
0x79119cc,Don't be so dense...,20,shift_jis,
0x79119f4,Here...use this security card.,30,shift_jis,
0x7911a24,It's security level 4.,22,shift_jis,
0x7911a4c,You're not in pain are you!?,28,shift_jis,
0x7911a94,You feel okay?|Nothing bothering you?,38,latin-1,
0x7911acc,What's wrong?|Getting friendly all of a sudden?,48,latin-1,
0x7911b10,Oh nothing...|I'm glad you're okay.,36,latin-1,
0x7911b48,You're strange.,15,shift_jis,
0x7911b68,I'm little nervous.|Everyone else I've saved suddenly dies.,60,latin-1,
0x7911bb8,You're bad luck.,16,shift_jis,
0x7911bdc,"Forget it, Doctor.",18,shift_jis,
0x7911c00,Call me Otacon.,15,shift_jis,
0x7911c20,Otacon?,7,shift_jis,
0x7911c38,It stands for Otaku Convention.,31,shift_jis,
0x7911c68,An Otaku is a guy like me who|likes Japanimation.,50,latin-1,
0x7b780d0,You're right.|We have to take responsibility.,46,latin-1,
0x7b78110,Science has always thrived|on war.,35,latin-1,
0x7b78144,The greatest weapons of mass|destruction were created by...,60,latin-1,
0x7b78194,scientists who wanted to be famous.,35,shift_jis,
0x7b781c8,But that's all over now. I won't|take part in murder anymore.,62,latin-1,
0x7b78218,Whatever. All I want from you|is information.,46,latin-1,
0x7b78258,Sure. I know everything about|this whole base.,47,latin-1,
0x7b78298,Ask me anything about Rex or|about this place...,49,latin-1,
0x7b782dc,"Also, with this stealth|camouflage,",36,latin-1,
0x7b78314,I can sneak in and out of|the armory and mess hall.,52,latin-1,
0x7b7835c,"If you need ammo or rations, just tell|me and I'll bring them to you.",70,latin-1,
0x7b783b4,I'm on frequency 141.12.,24,shift_jis,
0x7b783e0,See ya later...,15,shift_jis,
0x7db70e4,That's the second time I've been able to|sneak up on the legendary Solid Snake.,80,latin-1,
0x7db7148,You're Meryl?,13,shift_jis,
0x7db7168,There's no way you could pass|for a man for long.,50,latin-1,
0x7db71ac,What do you mean?,17,shift_jis,
0x7db71d0,Hey! Men aren't allowed in here.,32,shift_jis,
0x7db7204,I had no idea you were so|feminine.,36,latin-1,
0x7db723c,"This is no time to try and|hit on me, Snake.",45,latin-1,
0x7db727c,"Besides, it's a waste of time.",30,shift_jis,
0x7db72ac,"When I joined up,",17,shift_jis,
0x7db72d0,they gave me psychotherapy|to destroy my interest in men.,58,latin-1,
0x7db731c,Same smart mouth...|you're Meryl all right.,44,latin-1,
0x7db735c,Are you hurt?,13,shift_jis,
0x7db737c,"Not yet. After all, I was disguised|as a Genome Soldier.",57,latin-1,
0x7db73c8,So why'd you change?,20,shift_jis,
0x7db73f0,You'd be a lot better off dressed|like one of them.,52,latin-1,
0x7db7438,...I got tired of disguising myself.,36,shift_jis,
0x7db7470,The truth is...|the uniform smelled like blood...,50,latin-1,
0x7db74b4,What's that mark?,17,shift_jis,
0x7db74d8,Huh? Oh. This?,14,shift_jis,
0x7db74f8,It's a paint tattoo. It's not real.,35,shift_jis,
0x7db752c,I was a fan of FOX-HOUND way back.,34,shift_jis,
0x7db7560,When guys like you and my uncle|were in it.,44,latin-1,
0x7db75a0,None of that gene therapy like there is|today. You guys were real heroes.,75,latin-1,
0x7db75fc,There are no heroes in war.,27,shift_jis,
0x7db7628,All the heroes I know are either|dead...or in prison.,54,latin-1,
0x7db7670,One or the other.,17,shift_jis,
0x7db7694,"But, Snake. You're a hero.|Aren't you?",39,latin-1,
0x7db76cc,I'm just a man who's good at|what he does. Killing.,52,latin-1,
0x7db7714,There's no winning or losing|for a mercenary.,46,latin-1,
0x7db7754,The only winners in war|are the people.,40,latin-1,
0x7db7790,That's right.|And you fight for the people.,44,latin-1,
0x7db77d0,I've never fought for anyone but|myself.,41,latin-1,
0x7db780c,I've got no purpose in life.|No ultimate goal...,49,latin-1,
0x7db7850,Come on.,8,shift_jis,
0x7db786c,It's only when I'm cheating|death on the battlefield.,54,latin-1,
0x7db78b4,The only time I feel truly alive.,33,shift_jis,
0x81eaea8,"Seeing other people die makes|you feel alive, huh?",51,latin-1,
0x81eaeec,You love war and don't want it to stop...,41,shift_jis,
0x81eaf28,Is it the same with all great soldiers|throughout history?,59,latin-1,
0x81eaf74,Why didn't you contact me?,26,shift_jis,
0x81eafa0,My Codec was broken.,20,shift_jis,
0x81eafc8,Is that all?,12,shift_jis,
0x81eafe8,Shouldn't you just be happy |we met up like this!?,51,latin-1,
0x81eb02c,How did you recognize me|in disguise?,38,latin-1,
0x81eb064,I never forget a lady.,22,shift_jis,
0x81eb08c,"So there's something you like|about me, huh?",45,latin-1,
0x81eb0cc,"Yeah, you've got a great butt.",30,shift_jis,
0x81eb0fc,"Oh I see...first it's my eyes,|now it's my butt.",50,latin-1,
0x81eb140,What's next?,12,shift_jis,
0x81eb160,On the battlefield you never|think about what's next.,54,latin-1,
0x892d0e4,So Snake...|how are the negotiations going?,44,latin-1,
0x892d124,No progress.,12,shift_jis,
0x892d144,"So it's all up to you, huh?",27,shift_jis,
0x892d170,Somebody's got to stop them from|launching a nuclear missile.,62,latin-1,
0x892d1c0,"There are two ways.|Either we destroy Metal Gear, or...",56,latin-1,
0x892d20c,...we override the detonation code.,35,shift_jis,
0x892d240,You got the card keys from Baker?,33,shift_jis,
0x892d274,...Card keys?,13,shift_jis,
0x892d294,You mean this?,14,shift_jis,
0x892d2b4,Where are the others?|There should be three keys.,50,latin-1,
0x892d2f8,This is all I've got.,21,shift_jis,
0x892d320,Where could the other two be?,29,shift_jis,
0x892d350,"I have no idea, but they must be|somewhere.",44,latin-1,
0x892d390,If we can't find them we'll have |no choice,44,latin-1,
0x892d3d0,but to destroy Metal Gear.,26,shift_jis,
0x892d3fc,Metal Gear is in an underground|maintenance base to the north.,63,latin-1,
0x892d44c,Take me too. I know this place|better than you do.,51,latin-1,
0x892d490,You'll just slow me down. You don't have|enough battle experience.,67,latin-1,
0x892d4e4,I won't slow you down.|I promise...,36,latin-1,
0x892d51c,And what if you do?,19,shift_jis,
0x892d540,Then you can shoot me.,22,shift_jis,
0x892d568,I don't like to waste bullets.,30,shift_jis,
0x8bbe148,Got it.,7,shift_jis,
0x8bbe160,I'll be careful...,18,shift_jis,
0x8bbe184,Y'know...I don't use makeup|the way other women do...,54,latin-1,
0x8bbe1cc,I hardly ever look at myself|in the mirror.,44,latin-1,
0x8bbe20c,I've always despised that kind|of woman.,41,latin-1,
0x8bbe248,I always dreamed of becoming|a soldier.,40,latin-1,
0x8bbe284,But I was wrong...,18,shift_jis,
0x8bbe2a8,It wasn't really my dream.,26,shift_jis,
0x8bbe2d4,My father...,12,shift_jis,
0x8bbe2f4,...he was killed in action|when I was younger.,47,latin-1,
0x8bbe334,You wanted to follow in your|father's footsteps?,49,latin-1,
0x8bbe378,Not really.,11,shift_jis,
0x8bbe394,I thought that if I became a soldier|I could understand him better.,68,latin-1,
0x8bbe3ec,So are you a soldier yet?,25,shift_jis,
0x8bbe418,I thought I was until today.|But...now I understand.,53,latin-1,
0x8bbe460,The truth is I was just afraid of|looking at myself.,53,latin-1,
0x8bbe4a8,Afraid of having to make my own|decisions in life.,51,latin-1,
0x8bbe4ec,But I'm not going to lie to myself|anymore.,44,latin-1,
0x8bbe52c,It's time I took a long hard look|at myself...,47,latin-1,
0x8bbe56c,"I want to know who I am,|what I'm capable of...",48,latin-1,
0x8bbe5b0,I want to know why I've lived the way|I've lived until now.,60,latin-1,
0x8bbe600,I want to know...,17,shift_jis,
0x8bbe624,Take a good look. You won't get|another chance for a while.,60,latin-1,
0x8bbe674,You should wash your face too|while you're at it.,50,latin-1,
0x8bbe6b8,Yeah...,7,shift_jis,
0x8bbe6d0,This isn't a training exercise.|Our lives are riding on this.,62,latin-1,
0x8bbe720,"There are no heroes or heroines.|If you lose, you're worm food.",64,latin-1,
0x8bbe78c,Is that FAMAS functional?,25,shift_jis,
0x8bbe7b8,Unfortunately it's out of ammo.,31,shift_jis,
0x8bbe7e8,Where did ya get that Desert Eagle?,35,shift_jis,
0x8bbe81c,I found it in the armory.,25,shift_jis,
0x8bbe848,It's a .50 caliber Action Express...,36,shift_jis,
0x8bbe880,"There was a SOCOM pistol too,|but I chose this.",48,latin-1,
0x8bbe8c4,"Hmm. So I got a leftover, huh.",30,shift_jis,
0x8bbe8f4,Isn't that gun a little big|for a girl?,40,latin-1,
0x8bbe930,"Don't worry, I can handle it.",29,shift_jis,
0x909fa80,C'mon. Use my .45.,18,shift_jis,
0x909faa4,"Listen, I've used a gun like this|since I was 8 years old.",59,latin-1,
0x909faf0,I'm more comfortable with it|than I am with a bra.,51,latin-1,
0x909fb34,"If we're gonna go to the north,",31,shift_jis,
0x909fb64,we'll have to go through|the Commander's Room on this floor.,61,latin-1,
0x909fbb4,The overland route is blocked|by glaciers.,43,latin-1,
0x909fbf0,The door to the commander's room|is security level 5.,54,latin-1,
0x909fc38,This card will open it.,23,shift_jis,
0x909fc60,It was inside the pocket of|the uniform I was wearing.,55,latin-1,
0x909fca8,Looks like he must have been guarding|someplace important.,59,latin-1,
0x92398a8,My head!....Ooh. It hurts!...,29,shift_jis,
0x92398d8,What's wrong?,13,shift_jis,
0x92398f8,"Don't come here, Snake!",23,shift_jis,
0x92d80bc,Are you okay!!?,15,shift_jis,
0x92d80dc,What happened!?,15,shift_jis,
0x92d80fc,...I'm fine.,12,shift_jis,
0x92d8134,Let's go.,9,shift_jis,
0x93ed0d0,Snake...,8,shift_jis,
0x93ed0ec,do you...like me?,17,shift_jis,
0x93ed110,What the...,11,shift_jis,
0x93ed12c,Do you like me?,15,shift_jis,
0x93ed14c,"Hold me, Snake!",15,shift_jis,
0x93ed16c,What's wrong!?,14,shift_jis,
0x93ed18c,Hurry...hurry! Make love to me!!,32,shift_jis,
0x93ed1c0,"Snake, I want you!!",19,shift_jis,
0x93ed1e4,Who's that!?,12,shift_jis,
0x93ed21c,You don't like girls!?,22,shift_jis,
0x951f8d0,Useless woman!,14,shift_jis,
0x951f8f0,"Optic camouflage, huh?",22,shift_jis,
0x951f918,I hope that's not your only trick.,34,shift_jis,
0x951f964,You doubt my power!?,20,shift_jis,
0x951f98c,Now I will show you...,22,shift_jis,
0x951f9b4,why I am the most|powerful practitioner of...,46,latin-1,
0x951f9f4,psychokinesis and telepathy|in the world.,42,latin-1,
0x951fa30,"No...there's no need for words,|Snake.",39,latin-1,
0x951fa68,I am Psycho Mantis.,19,shift_jis,
0x951fa8c,That's right...this is no trick.|It is true power.,51,latin-1,
0x951fad0,It's useless. I told you...,27,shift_jis,
0x951fafc,I can read your every thought.,30,shift_jis,
0x9751134,So...you used the other...,26,shift_jis,
0x9751160,I...I wasn't able to read the future...,39,shift_jis,
0x9751198,A strong man doesn't need to read|the future.,46,latin-1,
0x97511d8,He makes his own.,17,shift_jis,
0x97511fc,Perhaps so...,13,shift_jis,
0x975121c,But I will read your future...,30,shift_jis,
0x975124c,"To get to Metal Gear's|underground maintenance base,",53,latin-1,
0x9751294,...you have to go through|that hidden door.,44,latin-1,
0x97512d4,There's a hidden door|behind the bookcase.,43,latin-1,
0x9751310,The overland route...,21,shift_jis,
0x9751338,it's blocked by frozen glaciers.,32,shift_jis,
0x975136c,Go past the Communication Towers.,33,shift_jis,
0x97513a0,Then use the tower's walkway.,29,shift_jis,
0x9a5f120,Why are you telling me this?,28,shift_jis,
0x9a5f150,I can read people's minds.,26,shift_jis,
0x9a5f17c,"In my lifetime, I have read the pasts,|presents and futures...",63,latin-1,
0x9a5f1cc,of thousands upon thousands of|men and women...,48,latin-1,
0x9a5f210,Oh...gross...,13,shift_jis,
0x9a5f230,And each mind that I peered into...,35,shift_jis,
0x9a5f264,was stuffed with the same|single object of obsession.,54,latin-1,
0x9a5f2ac,That selfish and atavistic desire|to pass on one's seed...,59,latin-1,
0x9a5f2f8,...it was enough to make me sick.,33,shift_jis,
0x9a5f32c,Every living thing on this planet exists|to mindlessly pass on their DNA.,74,latin-1,
0x9a5f388,We're designed that way.,24,shift_jis,
0x9a5f3b4,And that's why there is war.,28,shift_jis,
0x9a5f3e4,But you...,10,shift_jis,
0x9a5f400,...you are different...,23,shift_jis,
0x9a5f428,You're the same as us.,22,shift_jis,
0x9a5f450,"We have no past, no future.",27,shift_jis,
0x9a5f47c,We live in the moment.,22,shift_jis,
0x9a5f4a4,That's our only purpose.,24,shift_jis,
0x9a5f4d0,Humans weren't designed to bring|each other happiness.,55,latin-1,
0x9a5f518,"From the moment we're thrown|into this world,",46,latin-1,
0x9a5f558,we're fated to bring each other|nothing but pain and misery.,61,latin-1,
0x9a5f5a8,The first person who's mind I dove into|was my father's.,57,latin-1,
0x9a5f5f4,I saw nothing but disgust and|hatred for me in his heart.,58,latin-1,
0x9a5f640,My mother died in childbirth...,31,shift_jis,
0x9a5f670,and he despised me for it...,28,shift_jis,
0x9a5f6a0,I thought my father was going to|kill me.,42,latin-1,
0x9a5f6dc,That's when my future disappeared.,34,shift_jis,
0x9a5f710,I lost my past as well.,23,shift_jis,
0x9a5f738,"When I came to, the village was|engulfed in flames...",54,latin-1,
0x9a5f780,Are you saying that you burned|your village down to...,55,latin-1,
0x9a5f7c8,bury your past?,15,shift_jis,
0x9a5f7e8,I see that you have suffered|the same trauma.,47,latin-1,
0x9a5f828,"We are truly the same, |you and I...",37,latin-1,
0xa1ea134,...The world is a more interesting place|with people like you in it...,71,latin-1,
0xa1ea18c,I never agreed with the Boss's|revolution...,45,latin-1,
0xa1ea1cc,His dreams of world conquest|do not interest me.,49,latin-1,
0xa1ea210,I just wanted an excuse to kill|as many people as I could.,59,latin-1,
0xa1ea25c,You monster...!,15,shift_jis,
0xa1ea27c,Let him talk.,13,shift_jis,
0xa1ea29c,He doesn't have much time left.,31,shift_jis,
0xa1ea2cc,I've seen true evil.,20,shift_jis,
0xa1ea2f4,You Snake.,10,shift_jis,
0xa1ea310,You're just like the Boss...,28,shift_jis,
0xa1ea340,"No, you're worse.",17,shift_jis,
0xa1ea364,"Compared to you, I'm not so bad.",32,shift_jis,
0xa1ea398,...I read her mind as well.,27,shift_jis,
0xa1ea3c4,Meryl's?,8,shift_jis,
0xa1ea3e0,I saw you there...,18,shift_jis,
0xa1ea404,...you have a large place|in her heart.,40,latin-1,
0xa1ea440,A large place?,14,shift_jis,
0xa1ea460,Yes. A large place.,19,shift_jis,
0xa1ea484,But I do not know if your futures|lie together.,48,latin-1,
0xa1ea4c8,I have a last request...,24,shift_jis,
0xa1ea510,My mask...put it back on.,25,shift_jis,
0xa1ea53c,Okay...,7,shift_jis,
0xa1ea554,Like this...other people's thoughts|force their way into my mind.,66,latin-1,
0xa1ea5a8,Before I die...I want to be|by myself.,39,latin-1,
0xa1ea5e0,I want to be left alone|in my own world.,41,latin-1,
0xa1ea61c,...I'll open the door for you.,30,shift_jis,
0xa1ea64c,"If you want to find your future,|go through that door.",55,latin-1,
0xa1ea694,This is the first time...,25,shift_jis,
0xa1ea6c0,...I've ever used my power|to help someone.,44,latin-1,
0xa1ea700,It's strange...,15,shift_jis,
0xa1ea720,...it feels...,14,shift_jis,
0xa1ea740,...kind of...,13,shift_jis,
0xa1ea760,...nice.,8,shift_jis,
0xa91f8e4,"Let's go, Meryl.",16,shift_jis,
0xa91f908,I'm sorry...,12,shift_jis,
0xa91f928,Meryl?,6,shift_jis,
0xa91f940,How could I let Mantis control|my mind like that...,52,latin-1,
0xa91f988,"If you're going to doubt yourself,|I'll leave you here.",56,latin-1,
0xa91f9d4,You're right.,13,shift_jis,
0xa91f9f4,Never doubt yourself.|Just let it make you stronger.,53,latin-1,
0xa91fa3c,Learn something from it.,24,shift_jis,
0xa91fa88,I'm sorry. I won't do it again.,31,shift_jis,
0xa91fab8,"Snake, can I ask you something?",31,shift_jis,
